#ml pH
0 1.89
0.5 1.90
1 1.93
1.5 1.96
2 1.98
2.5 2.05
3 2.08
3.6 2.12
4 2.15
4.5 2.21
5 2.26
5.5 2.31
5.85 2.35
6 2.37
6.5 2.43
6.8 2.46
7 2.54
7.3 2.58
7.5 2.62
7.7 2.66
8 2.73
8.2 2.77
8.4 2.84
8.6 2.87
8.75 2.91
9 3.00
9.25 3.05
9.5 3.12
10 3.18 
10.2 3.23 
10.4 3.29 
10.6 3.35 
10.85 3.41 
11 3.47 
11.3 3.51 
11.5 3.56 
11.8 3.62 
12.1 3.68 
12.3 3.73 
12.5 3.77 
12.7 3.81 
13 3.85 
13.2 3.93 
13.4 3.96 
13.6 3.99 
13.8 4.03 
14 4.06 
14.2 4.10 
14.4 4.13 
14.6 4.17 
14.8 4.21 
15 4.25 
15.2 4.34 
15.4 4.38 
15.6 4.42 
15.8 4.48 
15.9 4.54 
16.2 4.60 
16.5 4.68 
16.8 4.79 
17 4.89 
17.25 5.02 
17.4 5.10 
17.5 5.21 
17.65 5.34 
17.8 5.50 
17.9 5.58 
18 5.83 
18.1 6.10 
18.15 6.62 
18.2 9.70 
18.3 10.00 
18.4 10.23 
18.5 10.54 
18.65 10.79 
18.95 10.92 
19.3 11.23 
19.6 11.32 
20 11.42 
20.5 11.54 
21 11.64 
21.5 11.70 
22 11.78 
